DATE,T2M,T2MDEW,PRECTOTCORR,WS10M,PS
2010-09-19,23.62,20.59,1.44,3.57,94.61
2010-09-20,23.72,20.36,0.14,2.72,94.7
2010-09-21,23.96,20.31,3.13,1.37,94.84
2010-09-22,23.53,21.21,8.37,0.92,94.87
2010-09-23,23.96,21.37,18.32,1.24,94.8
2010-09-24,23.95,21.36,8.15,2.11,94.76
2010-09-25,23.85,20.84,2.24,1.97,94.83
2010-09-26,24.67,21.07,3.17,1.59,94.81
2010-09-27,24.56,21.53,4.22,1.97,94.81
2010-09-28,24.39,21.37,1.68,2.77,94.88
2010-09-29,23.88,20.63,0.24,2.66,94.92
2010-09-30,24.69,20.16,0.36,1.75,94.78
2010-10-01,25.07,21.05,5.35,1.08,94.65
2010-10-02,24.41,22.04,21.8,1.39,94.63
2010-10-03,24.25,21.72,11.0,1.11,94.71
2010-10-04,24.1,21.77,7.51,1.59,94.65
2010-10-05,23.88,22.01,4.86,2.85,94.55
2010-10-06,23.8,22.16,10.5,5.07,94.54
2010-10-07,23.65,22.55,11.08,4.13,94.52
2010-10-08,23.67,22.25,4.02,2.65,94.61
2010-10-09,23.6,21.28,2.38,2.99,94.67
2010-10-10,23.2,21.26,0.63,3.24,94.74
2010-10-11,23.44,21.04,0.06,3.5,94.9
2010-10-12,23.47,21.08,0.12,3.14,95.03
2010-10-13,23.39,21.68,4.14,3.38,94.97
2010-10-14,23.57,21.49,6.49,3.49,94.88
2010-10-15,23.34,21.3,6.01,4.25,94.82
2010-10-16,22.81,20.25,2.66,4.12,94.75
2010-10-17,22.8,20.21,2.0,3.53,94.74
2010-10-18,23.34,21.03,5.16,3.75,94.82
2010-10-19,23.7,21.7,12.71,3.22,94.88
2010-10-20,22.55,21.3,3.9,2.42,94.93
2010-10-21,23.6,21.61,7.37,3.1,94.78
2010-10-22,23.23,21.43,16.65,4.01,94.7
2010-10-23,23.0,21.12,5.62,3.55,94.76
2010-10-24,23.41,21.17,0.13,3.09,94.78
2010-10-25,23.9,21.2,0.0,2.6,94.83
2010-10-26,24.18,21.87,4.93,1.97,94.91
2010-10-27,22.88,21.97,15.27,2.18,95.03
2010-10-28,22.74,19.87,12.64,1.25,95.03
2010-10-29,22.9,20.58,9.92,1.22,94.95
2010-10-30,23.45,20.89,21.77,1.16,94.95
2010-10-31,22.71,21.24,11.66,1.65,94.89
2010-11-01,22.64,20.84,9.04,2.33,94.69
2010-11-02,23.18,21.22,1.72,2.36,94.75
2010-11-03,23.59,21.29,8.21,1.23,94.98
2010-11-04,23.73,21.56,10.36,1.21,95.04
2010-11-05,22.96,21.54,28.8,2.01,95.0
2010-11-06,22.01,19.75,6.96,1.75,94.87
2010-11-07,22.27,20.73,5.16,2.46,94.59
2010-11-08,22.83,20.88,0.41,3.09,94.66
2010-11-09,23.18,21.08,18.96,1.36,95.11
2010-11-10,23.6,21.54,14.04,1.15,95.21
2010-11-11,22.27,21.5,13.21,1.83,95.1
2010-11-12,23.16,20.57,2.17,1.06,94.86
2010-11-13,24.01,21.61,2.59,1.25,94.81
2010-11-14,23.25,21.28,4.9,2.55,95.05
2010-11-15,23.25,20.56,9.45,1.66,95.12
2010-11-16,23.48,21.35,20.59,1.06,94.89
2010-11-17,22.53,21.54,18.58,1.51,94.78
2010-11-18,22.86,21.12,8.41,2.96,95.02
2010-11-19,22.26,20.47,5.93,2.45,95.04
2010-11-20,22.71,20.64,9.78,1.63,94.87
2010-11-21,22.42,19.07,12.26,1.39,94.86
2010-11-22,22.82,20.22,21.7,1.6,94.77
2010-11-23,21.85,19.93,3.96,1.64,94.84
2010-11-24,22.14,20.55,3.29,2.38,94.93
2010-11-25,21.6,20.15,1.07,2.5,94.98
2010-11-26,21.31,19.71,3.49,2.19,94.9
2010-11-27,20.84,19.21,2.14,2.14,94.87
2010-11-28,21.41,20.01,7.66,3.37,94.9
2010-11-29,21.64,20.01,0.6,3.54,94.93
2010-11-30,21.9,20.05,0.37,3.47,94.84
2010-12-01,22.01,20.83,5.0,3.19,94.81
2010-12-02,22.76,21.23,9.97,2.85,94.82
2010-12-03,22.04,20.22,1.85,2.46,94.87
2010-12-04,21.08,19.11,0.03,2.07,94.77
2010-12-05,20.99,18.03,0.07,1.37,94.58
2010-12-06,20.97,16.84,0.0,1.41,94.58
2010-12-07,22.27,19.2,0.38,1.32,94.58
2010-12-08,21.56,19.64,1.34,2.11,94.67
2010-12-09,22.26,20.07,0.22,2.21,94.73
2010-12-10,21.84,19.91,0.01,2.74,94.82
2010-12-11,21.9,20.0,0.13,2.27,94.81
2010-12-12,20.92,19.13,1.19,2.42,94.74
2010-12-13,20.76,18.14,0.91,1.53,94.83
2010-12-14,21.54,19.28,0.32,1.48,94.91
2010-12-15,21.91,20.15,1.46,1.53,94.89
2010-12-16,22.6,20.32,3.19,1.17,94.9
2010-12-17,22.2,20.24,3.76,1.6,94.96
2010-12-18,22.19,20.27,1.11,2.39,94.93
2010-12-19,20.21,17.24,0.31,3.81,95.07
2010-12-20,21.82,19.98,1.44,3.96,95.11
2010-12-21,21.54,19.27,0.18,3.47,95.05
2010-12-22,19.76,15.95,0.0,2.55,94.92
2010-12-23,18.29,15.09,0.0,2.37,94.96
2010-12-24,18.8,15.83,0.0,2.23,95.0
2010-12-25,20.01,16.81,0.0,2.32,94.97
2010-12-26,19.92,16.84,0.0,2.31,95.03
2010-12-27,19.54,16.77,0.0,2.46,95.04
2010-12-28,19.63,16.51,0.14,2.52,95.01
2010-12-29,19.9,18.4,0.25,2.58,95.0
2010-12-30,21.34,19.13,0.07,3.03,95.0
2010-12-31,21.15,18.23,0.5,2.08,94.94
2011-01-01,22.09,18.73,0.18,1.27,94.84
2011-01-02,22.48,19.39,0.0,1.41,94.82
2011-01-03,22.07,19.5,0.0,2.67,94.92
2011-01-04,21.19,18.82,0.26,3.07,94.98
2011-01-05,21.63,19.01,0.07,3.35,94.89
2011-01-06,21.32,18.41,0.01,2.88,94.93
2011-01-07,21.85,18.07,0.0,2.4,94.91
2011-01-08,23.6,19.17,0.0,1.41,94.79
2011-01-09,23.82,19.51,0.73,1.5,94.83
2011-01-10,23.36,17.21,0.32,1.35,94.91
2011-01-11,21.44,15.62,0.0,1.49,94.96
2011-01-12,19.25,13.35,0.0,2.33,94.97
2011-01-13,19.33,13.53,0.0,2.58,95.01
2011-01-14,19.68,14.69,0.0,2.88,95.07
2011-01-15,20.51,16.75,0.0,3.26,95.14
2011-01-16,21.97,18.7,0.0,2.98,95.07
2011-01-17,22.48,18.48,0.0,2.12,95.02
2011-01-18,21.88,17.41,0.0,2.71,95.03
2011-01-19,20.25,13.63,0.0,2.73,95.02
2011-01-20,20.12,13.96,0.0,2.89,95.08
2011-01-21,20.46,14.75,0.0,3.27,95.08
2011-01-22,20.8,15.76,0.0,3.5,95.18
2011-01-23,20.62,15.85,0.0,3.98,95.27
2011-01-24,20.49,15.69,0.0,4.1,95.22
2011-01-25,20.58,15.63,0.0,3.87,95.18
2011-01-26,21.62,16.91,0.0,4.25,95.22
2011-01-27,22.0,15.86,0.0,4.16,95.3
2011-01-28,21.7,16.48,0.0,3.46,95.21
2011-01-29,22.48,16.7,0.0,3.42,95.14
2011-01-30,22.54,16.62,0.0,3.7,95.11
2011-01-31,22.5,15.61,0.0,3.68,95.12
2011-02-01,22.47,12.24,0.0,2.97,95.12
2011-02-02,20.81,12.52,0.0,3.55,95.17
2011-02-03,21.74,14.57,0.0,3.21,95.17
2011-02-04,22.73,14.56,0.0,2.21,95.15
2011-02-05,21.61,11.26,0.0,3.13,95.03
2011-02-06,21.57,13.59,0.0,2.92,95.02
2011-02-07,23.21,15.79,0.0,2.49,94.98
2011-02-08,23.88,14.36,0.0,1.73,94.77
2011-02-09,22.96,12.97,0.87,2.08,94.74
2011-02-10,22.03,10.79,6.75,2.91,94.94
2011-02-11,21.08,10.66,0.0,3.43,95.06
2011-02-12,21.71,12.04,0.0,3.18,95.04
2011-02-13,21.33,11.14,0.0,3.2,94.93
2011-02-14,22.45,12.1,0.0,1.79,94.91
2011-02-15,23.51,16.35,0.0,2.14,94.94
2011-02-16,24.7,17.52,0.0,1.34,94.98
2011-02-17,24.98,17.59,0.0,1.52,94.97
2011-02-18,25.28,17.57,0.0,1.8,94.94
2011-02-19,25.53,17.19,0.0,1.41,95.04
2011-02-20,25.86,17.8,0.0,1.65,95.08
2011-02-21,26.01,18.77,0.04,1.11,95.05
2011-02-22,25.81,19.18,2.5,2.08,95.02
2011-02-23,24.0,19.27,2.47,1.45,95.15
2011-02-24,23.58,19.83,5.88,1.33,95.09
2011-02-25,24.28,19.37,1.92,1.55,94.9
2011-02-26,25.01,19.26,16.24,1.27,94.89
2011-02-27,23.74,17.07,5.1,2.56,95.07
2011-02-28,24.33,14.94,0.0,3.25,95.08
2011-03-01,23.28,14.46,0.0,3.62,95.06
2011-03-02,23.44,12.72,0.0,3.42,95.01
2011-03-03,23.13,11.46,0.0,3.23,95.03
2011-03-04,24.41,13.14,0.0,2.38,94.97
2011-03-05,25.57,16.52,0.0,2.34,94.97
2011-03-06,25.27,13.38,0.0,2.85,95.1
2011-03-07,24.81,11.26,0.0,3.22,95.19
2011-03-08,25.56,11.75,0.0,2.71,95.08
2011-03-09,26.4,12.81,0.0,1.95,95.03
2011-03-10,26.42,11.9,0.0,1.6,95.02
2011-03-11,26.11,12.07,0.0,1.72,94.92
2011-03-12,25.72,12.77,0.0,2.96,94.9
2011-03-13,26.67,15.02,1.54,2.6,94.97
2011-03-14,26.75,14.04,0.66,2.98,94.91
2011-03-15,26.28,13.58,0.0,3.12,94.85
2011-03-16,26.13,12.21,0.0,3.19,94.75
2011-03-17,25.68,11.3,0.0,3.85,94.87
2011-03-18,24.78,11.41,0.0,3.19,94.86
2011-03-19,27.2,14.22,0.0,1.88,94.77
2011-03-20,27.57,17.29,0.66,2.1,94.78
2011-03-21,27.9,17.73,0.07,3.06,94.87
2011-03-22,28.75,17.83,0.0,1.97,94.89
2011-03-23,29.1,16.86,1.56,1.77,94.87
2011-03-24,28.53,17.49,0.8,2.05,94.89
2011-03-25,27.94,18.53,3.22,1.81,94.91
2011-03-26,28.28,18.53,0.33,1.6,94.96
2011-03-27,28.63,18.15,0.0,1.79,94.97
2011-03-28,28.41,17.74,0.0,2.09,94.94
2011-03-29,28.72,18.45,1.81,2.13,94.97
2011-03-30,28.94,15.32,0.37,2.07,95.0
2011-03-31,28.93,16.62,0.0,1.92,95.0
2011-04-01,28.72,18.44,0.0,3.31,94.98
2011-04-02,28.15,19.41,0.36,3.24,94.96
2011-04-03,27.69,18.62,0.24,3.09,95.0
2011-04-04,27.57,16.6,0.03,2.62,94.97
2011-04-05,27.69,16.84,0.0,2.33,94.97
2011-04-06,28.72,15.1,0.0,2.06,94.98
2011-04-07,28.75,12.72,0.0,2.75,95.03
2011-04-08,28.87,14.5,1.1,1.86,95.05
2011-04-09,29.4,16.6,0.32,1.64,95.06
2011-04-10,29.66,16.81,0.22,1.71,95.07
2011-04-11,29.48,18.2,3.38,2.02,94.99
2011-04-12,28.49,18.78,1.99,2.17,94.96
2011-04-13,28.61,19.1,2.19,2.27,94.95
2011-04-14,26.89,19.93,0.77,2.69,94.89
2011-04-15,26.54,20.35,4.57,1.68,94.8
2011-04-16,27.75,17.18,0.09,1.47,94.86
2011-04-17,28.45,16.82,0.26,1.85,94.95
2011-04-18,27.68,18.88,2.98,1.39,94.81
2011-04-19,25.39,20.71,3.92,2.08,94.77
2011-04-20,25.76,19.82,0.93,1.4,94.81
2011-04-21,26.13,19.41,23.27,1.52,94.81
2011-04-22,23.35,21.28,11.94,2.01,94.77
2011-04-23,23.2,21.1,28.25,1.51,94.77
2011-04-24,25.54,20.53,7.08,0.94,94.75
2011-04-25,25.6,21.53,10.09,1.57,94.7
2011-04-26,26.07,21.44,3.44,1.21,94.73
2011-04-27,26.62,21.33,0.18,1.44,94.67
2011-04-28,26.23,21.98,1.32,2.69,94.61
2011-04-29,25.63,21.89,0.33,3.06,94.63
2011-04-30,26.4,21.64,0.6,2.97,94.71
2011-05-01,26.41,21.94,3.33,2.47,94.81
2011-05-02,26.92,21.82,0.51,2.61,94.84
2011-05-03,26.32,22.43,9.77,3.35,94.79
2011-05-04,25.42,21.39,0.65,3.66,94.87
2011-05-05,26.7,21.8,0.12,2.07,94.8
2011-05-06,27.09,21.58,0.03,3.21,94.81
2011-05-07,26.11,20.39,0.0,4.57,94.82
2011-05-08,26.09,18.31,0.0,4.3,94.71
2011-05-09,26.29,19.56,0.37,4.22,94.77
2011-05-10,26.58,20.15,0.18,3.97,94.84
2011-05-11,26.75,19.79,0.03,3.61,94.84
2011-05-12,26.96,19.76,0.01,3.36,94.85
2011-05-13,27.22,20.12,1.57,3.34,94.81
2011-05-14,26.17,21.91,2.75,2.97,94.81
2011-05-15,26.81,21.04,0.19,3.03,94.88
2011-05-16,28.3,20.24,0.0,1.95,94.89
2011-05-17,27.16,21.6,1.57,2.78,94.98
2011-05-18,27.13,21.61,0.29,2.73,94.93
2011-05-19,27.27,21.2,0.1,3.06,94.88
2011-05-20,26.71,21.56,1.58,3.21,94.76
2011-05-21,25.21,20.84,0.36,3.09,94.78
2011-05-22,27.15,19.31,0.06,3.51,94.77
2011-05-23,27.02,20.54,0.81,3.37,94.83
2011-05-24,26.61,22.31,2.18,2.72,94.78
2011-05-25,26.49,22.34,0.77,2.36,94.7
2011-05-26,26.16,21.1,0.58,3.27,94.78
2011-05-27,26.0,20.88,17.06,3.44,94.8
2011-05-28,25.04,21.21,12.7,3.56,94.8
2011-05-29,25.25,21.21,4.56,3.24,94.81
2011-05-30,25.94,22.29,10.15,3.87,94.76
2011-05-31,24.37,22.31,12.79,4.58,94.69
